x	y	z	contour type	frameID	weight	time frame
10.28849	-10.84205	-31.99201	RV_INSERT	9001	2.0	9
-13.16785	12.04757	-72.82890	RV_INSERT	9001	2.0	9
0.72284	5.73437	-84.29004	RV_INSERT	10001	2.0	9
9.55110	-18.65350	-53.23708	RV_INSERT	10001	2.0	9
17.78751	-3.65427	-90.24760	RV_INSERT	11001	2.0	9
13.65077	-19.68285	-77.49832	RV_INSERT	11001	2.0	9
29.61932	-17.91534	-95.39509	RV_INSERT	12001	2.0	9
28.59178	-20.01262	-94.10165	RV_INSERT	12001	2.0	9
5.56945	23.46838	-27.87620	MITRAL_VALVE	17001	1.0	9
-3.96407	37.97564	-61.38508	MITRAL_VALVE	17001	1.0	9
42.65434	-18.30651	-94.52739	APEX_POINT	17001	1.0	9
19.25558	39.52568	-41.33664	MITRAL_VALVE	16001	1.0	9
1.46656	24.23792	-26.43596	MITRAL_VALVE	16001	1.0	9
-5.63043	0.99394	-27.64480	AORTA_VALVE	16001	1.0	9
-3.44956	21.09857	-21.86511	AORTA_VALVE	16001	1.0	9
43.75631	-19.26574	-95.17476	APEX_POINT	16001	1.0	9
-15.91779	20.79859	-44.68187	MITRAL_VALVE	14001	1.0	9
18.02041	28.84951	-29.73675	MITRAL_VALVE	14001	1.0	9
-19.90931	13.12317	-56.20000	TRICUSPID_VALVE	14001	1.0	9
-42.60970	1.60108	-75.09878	TRICUSPID_VALVE	14001	1.0	9
41.52505	-18.08676	-95.56018	APEX_POINT	14001	1.0	9
-10.76541	-16.90103	-3.57441	PULMONARY_VALVE	22001	1.0	9
-10.65877	1.85115	-12.84008	PULMONARY_VALVE	22001	1.0	9
-7.75048	4.44983	-32.65373	SAX_LV_ENDOCARDIAL	8001	1.0	9
-6.95841	4.44983	-32.04329	SAX_LV_ENDOCARDIAL	8001	1.0	9
-6.16634	4.44983	-31.43285	SAX_LV_ENDOCARDIAL	8001	1.0	9
-5.37427	4.44983	-30.82242	SAX_LV_ENDOCARDIAL	8001	1.0	9
-4.20452	5.23545	-30.70206	SAX_LV_ENDOCARDIAL	8001	1.0	9
-3.41245	5.23544	-30.09162	SAX_LV_ENDOCARDIAL	8001	1.0	9
