x	y	z	contour type	frameID	weight	time frame
-8.85311	-2.56570	-26.52788	RV_INSERT	8001	1.0	5
-20.49247	21.00266	-58.93248	RV_INSERT	8001	1.0	5
8.82631	-12.69766	-31.27384	RV_INSERT	9001	1.0	5
-10.32321	15.85958	-74.42691	RV_INSERT	9001	1.0	5
4.13341	8.61587	-84.52668	RV_INSERT	10001	1.0	5
9.57214	-20.23119	-51.65216	RV_INSERT	10001	1.0	5
19.47784	-3.40439	-89.19335	RV_INSERT	11001	1.0	5
16.77581	-21.97641	-72.80938	RV_INSERT	11001	1.0	5
27.40444	-17.68833	-97.32779	RV_INSERT	12001	1.0	5
26.06208	-22.58444	-93.49406	RV_INSERT	12001	1.0	5
4.74968	24.35602	-25.92167	MITRAL_VALVE	17001	1.0	5
-5.22684	39.49520	-60.42042	MITRAL_VALVE	17001	1.0	5
43.61188	-19.13497	-99.61068	APEX_POINT	17001	1.0	5
17.73334	43.22424	-37.97255	MITRAL_VALVE	16001	1.0	5
1.73951	26.58106	-25.78481	MITRAL_VALVE	16001	1.0	5
-8.71473	3.99419	-22.70352	AORTA_VALVE	16001	1.0	5
-3.29608	22.51369	-21.45827	AORTA_VALVE	16001	1.0	5
43.68848	-20.49399	-95.60610	APEX_POINT	16001	1.0	5
-19.74079	21.76599	-43.64651	MITRAL_VALVE	14001	1.0	5
16.55621	31.96014	-25.36540	MITRAL_VALVE	14001	1.0	5
-21.65806	14.18182	-54.83264	TRICUSPID_VALVE	14001	1.0	5
-51.67902	4.33802	-72.00147	TRICUSPID_VALVE	14001	1.0	5
44.12624	-18.54581	-95.97573	APEX_POINT	14001	1.0	5
-10.61869	-16.87554	-4.66506	PULMONARY_VALVE	22001	1.0	5
-9.76169	0.01696	-18.60849	PULMONARY_VALVE	22001	1.0	5
-15.33642	3.71919	-37.77363	SAX_LV_ENDOCARDIAL	8001	1.0	5
-14.54436	3.71919	-37.16319	SAX_LV_ENDOCARDIAL	8001	1.0	5
-13.75229	3.71919	-36.55276	SAX_LV_ENDOCARDIAL	8001	1.0	5
-12.96022	3.71919	-35.94233	SAX_LV_ENDOCARDIAL	8001	1.0	5
-12.16816	3.71920	-35.33189	SAX_LV_ENDOCARDIAL	8001	1.0	5
-11.37609	3.71920	-34.72146	SAX_LV_ENDOCARDIAL	8001	1.0	5
-10.58402	3.71920	-34.11102	SAX_LV_ENDOCARDIAL	8001	1.0	5
-9.41427	4.50481	-33.99066	SAX_LV_ENDOCARDIAL	8001	1.0	5
-8.62220	4.50481	-33.38022	SAX_LV_ENDOCARDIAL	8001	1.0	5
-7.83014	4.50481	-32.76979	SAX_LV_ENDOCARDIAL	8001	1.0	5
-6.66038	5.29043	-32.64942	SAX_LV_ENDOCARDIAL	8001	1.0	5
-5.86831	5.29043	-32.03899	SAX_LV_ENDOCARDIAL	8001	1.0	5
-4.69856	6.07604	-31.91862	SAX_LV_ENDOCARDIAL	8001	1.0	5
-3.90650	6.07604	-31.30819	SAX_LV_ENDOCARDIAL	8001	1.0	5
-2.73674	6.86166	-31.18782	SAX_LV_ENDOCARDIAL	8001	1.0	5
-1.94467	6.86166	-30.57739	SAX_LV_ENDOCARDIAL	8001	1.0	5
-0.77492	7.64727	-30.45702	SAX_LV_ENDOCARDIAL	8001	1.0	5
0.39483	8.43288	-30.33665	SAX_LV_ENDOCARDIAL	8001	1.0	5
1.56458	9.21850	-30.21628	SAX_LV_ENDOCARDIAL	8001	1.0	5
2.35665	9.21850	-29.60585	SAX_LV_ENDOCARDIAL	8001	1.0	5
3.52640	10.00411	-29.48548	SAX_LV_ENDOCARDIAL	8001	1.0	5
4.69616	10.78973	-29.36512	SAX_LV_ENDOCARDIAL	8001	1.0	5
5.86591	11.57534	-29.24475	SAX_LV_ENDOCARDIAL	8001	1.0	5
6.65798	11.57534	-28.63432	SAX_LV_ENDOCARDIAL	8001	1.0	5
7.82773	12.36095	-28.51395	SAX_LV_ENDOCARDIAL	8001	1.0	5
8.61980	12.36095	-27.90351	SAX_LV_ENDOCARDIAL	8001	1.0	5
9.78955	13.14657	-27.78315	SAX_LV_ENDOCARDIAL	8001	1.0	5
10.95930	13.93218	-27.66278	SAX_LV_ENDOCARDIAL	8001	1.0	5
11.75137	13.93218	-27.05235	SAX_LV_ENDOCARDIAL	8001	1.0	5
12.92112	14.71780	-26.93198	SAX_LV_ENDOCARDIAL	8001	1.0	5
14.09088	15.50341	-26.81161	SAX_LV_ENDOCARDIAL	8001	1.0	5
15.26063	16.28902	-26.69125	SAX_LV_ENDOCARDIAL	8001	1.0	5
16.43038	17.07464	-26.57088	SAX_LV_ENDOCARDIAL	8001	1.0	5
17.60013	17.86025	-26.45051	SAX_LV_ENDOCARDIAL	8001	1.0	5
17.97782	18.64587	-26.94058	SAX_LV_ENDOCARDIAL	8001	1.0	5
19.14757	19.43148	-26.82021	SAX_LV_ENDOCARDIAL	8001	1.0	5
20.31733	20.21709	-26.69985	SAX_LV_ENDOCARDIAL	8001	1.0	5
20.69501	21.00271	-27.18991	SAX_LV_ENDOCARDIAL	8001	1.0	5
21.86477	21.78832	-27.06954	SAX_LV_ENDOCARDIAL	8001	1.0	5
22.24245	22.57393	-27.55961	SAX_LV_ENDOCARDIAL	8001	1.0	5
23.41220	23.35955	-27.43924	SAX_LV_ENDOCARDIAL	8001	1.0	5
23.78989	24.14516	-27.92931	SAX_LV_ENDOCARDIAL	8001	1.0	5
24.95964	24.93077	-27.80894	SAX_LV_ENDOCARDIAL	8001	1.0	5
25.33733	25.71639	-28.29901	SAX_LV_ENDOCARDIAL	8001	1.0	5
25.71502	26.50200	-28.78908	SAX_LV_ENDOCARDIAL	8001	1.0	5
26.09270	27.28761	-29.27915	SAX_LV_ENDOCARDIAL	8001	1.0	5
